*HASH_VALUE	sphrase ID	name	* noms français	p	description
_78BD5132FFC35FAB	abctpea19	Чертеж дробящих зарядов для ружья трайкеров			Чертеж для изготовления дробящих зарядов для ружья трайкеров.
_8B58D09039225CCC	abctpea20	Чертеж проникающих зарядов для ружья трайкеров			Чертеж для изготовления проникающих зарядов для ружья трайкеров.
_78BD5129FFC35FAB	abctpea21	Чертеж рассекающих зарядов для ружья трайкеров			Чертеж для изготовления рассекающих зарядов для ружья трайкеров.
_370929C52625BB6D	abczpea13	Чертеж дробящих зарядов для самострела Зораи			Чертеж для изготовления дробящих зарядов для самострела Зораи.
_FABD9AEE58158EE9	abczpea14	Чертеж проникающих зарядов для самострела Зораи			Чертеж для изготовления проникающих зарядов для самострела Зораи.
_37F929C72615BB6D	abczpea15	Чертеж рассекающих зарядов для самострела Зораи			Чертеж для изготовления рассекающих зарядов для самострела Зораи.
_8468D464B1FA0CD4	abczpea07	Чертеж дробящих гранат Зораи			Чертеж для изготовления дробящих гранат Зораи.
_E837D47D77636703	abczpea08	Чертеж проникающих гранат Зораи			Чертеж для изготовления проникающих гранат Зораи.
_8458D465B1FA0CD4	abczpea09	Чертеж рассекающих гранат Зораи			Чертеж для изготовления рассекающих гранат Зораи.
_BA6E6D9677467DA4	abczpea16	Чертеж дробящих зарядов для пистолета Зораи			Чертеж для изготовления дробящих зарядов для пистолета Зораи.
_0D77515CA7CD76D4	abczpea17	Чертеж проникающих зарядов для пистолета Зораи			Чертеж для изготовления проникающих зарядов для пистолета Зораи.
_BA6E6D9737467DA4	abczpea18	Чертеж рассекающих зарядов для пистолета Зораи			Чертеж для изготовления рассекающих зарядов для пистолета Зораи.
_AC8EDE4BACEC6CFE	abczpea01	Чертеж дробящих зарядов для автометателя Зораи			Чертеж для изготовления дробящих зарядов для автометателя Зораи.
_7B70C342F4DAABC2	abczpea02	Чертеж проникающих зарядов для автометателя Зораи			Чертеж для изготовления проникающих зарядов для автометателя Зораи.
_AC8EDE4DACEC68FD	abczpea03	Чертеж рассекающих зарядов для автометателя Зораи			Чертеж для изготовления рассекающих зарядов для автометателя Зораи.
_5F866D6245184F16	abczpea04	Чертеж дробящих зарядов для арбалета Зораи			Чертеж для изготовления дробящих зарядов для арбалета Зораи.
_A659A8DC17E56C59	abczpea05	Чертеж проникающих зарядов для арбалета Зораи			Чертеж для изготовления проникающих зарядов для арбалета Зораи.
_5F86696445184F15	abczpea06	Чертеж рассекающих зарядов для арбалета Зораи			Чертеж для изготовления рассекающих зарядов для арбалета Зораи.
_5AE5994989892316	abczpea10	Чертеж дробящих зарядов для метателя Зораи			Чертеж для изготовления дробящих зарядов для метателя Зораи.
_A7E984CC5875484D	abczpea11	Чертеж проникающих зарядов для метателя Зораи			Чертеж для изготовления проникающих зарядов для метателя Зораи.
_5AE5954B89892315	abczpea12	Чертеж рассекающих зарядов для метателя Зораи			Чертеж для изготовления рассекающих зарядов для метателя Зораи.
_A972EE7F844ECCC7	abczpea19	Чертеж дробящих зарядов для ружья Зораи			Чертеж для изготовления дробящих зарядов для ружья Зораи.
_9B0B3DA70338F153	abczpea20	Чертеж проникающих зарядов для ружья Зораи			Чертеж для изготовления проникающих зарядов для ружья Зораи.
_A972EE77C42ECCC7	abczpea21	Чертеж рассекающих зарядов для ружья Зораи			Чертеж для изготовления рассекающих зарядов для ружья Зораи.
_392F8F1A3C9833E2	abcfaea01	Чертеж тяжелых ботинок файросов			Чертеж для изготовления тяжелых ботинок файросов.
_85AF907E293F148B	abcfaea02	Чертеж тяжелых рукавиц файросов			Чертеж для изготовления тяжелых рукавиц файросов.
_C54F947669DF1882	abcfaea03	Чертеж тяжелых шлемов файросов			Чертеж для изготовления тяжелых шлемов файросов.
_391F572BFCB86BE2	abcfaea04	Чертеж тяжелых поножей файросов			Чертеж для изготовления тяжелых поножей файросов.
_87A5429A7B4BDBB4	abcfaea05	Чертеж тяжелых наручей файросов			Чертеж для изготовления тяжелых наручей файросов.
_B2DD73CC297EDBA1	abcfaea06	Чертеж тяжелых нагрудников файросов			Чертеж для изготовления тяжелых нагрудников файросов.
_F98EA7243D48FBE8	abcfaea07	Чертеж легких ботинок файросов			Чертеж для изготовления легких ботинок файросов.
_45CEA888E95E2C8F	abcfaea08	Чертеж легких рукавиц файросов			Чертеж для изготовления легких рукавиц файросов.
_F97E6F34FD6833E8	abcfaea09	Чертеж легких поножей файросов			Чертеж для изготовления легких поножей файросов.
_46C45A9439ABEBB8	abcfaea10	Чертеж легких наручей файросов			Чертеж для изготовления легких наручей файросов.
_F23C9BCB6A7EC793	abcfaea11	Чертеж легких нагрудников файросов			Чертеж для изготовления легких нагрудников файросов.
_C53EBBC4A9CCBFD1	abcfaea12	Чертеж средних ботинок файросов			Чертеж для изготовления средних ботинок файросов.
_449F839E7B29360D	abcfaea13	Чертеж средних рукавиц файросов			Чертеж для изготовления средних рукавиц файросов.
_421FBBC526ADBFD0	abcfaea14	Чертеж средних поножей файросов			Чертеж для изготовления средних поножей файросов.
_85E56D7AF305261A	abcfaea15	Чертеж средних наручей файросов			Чертеж для изготовления средних наручей файросов.
_F70EBBDC8EC77633	abcfaea16	Чертеж средних нагрудников файросов			Чертеж для изготовления средних нагрудников файросов.
_7CAEAB1ABBB8D3E3	abcmaea01	Чертеж тяжелых ботинок матисов			Чертеж для изготовления тяжелых ботинок матисов.
_C82EAC78AABE3085	abcmaea02	Чертеж тяжелых рукавиц матисов			Чертеж для изготовления тяжелых рукавиц матисов.
_08CEB070EA5E347C	abcmaea03	Чертеж тяжелых шлемов матисов			Чертеж для изготовления тяжелых шлемов матисов.
_7C9E732B7BD80BE3	abcmaea04	Чертеж тяжелых поножей матисов			Чертеж для изготовления тяжелых поножей матисов.
_CA24469C75BBDBAE	abcmaea05	Чертеж тяжелых наручей матисов			Чертеж для изготовления тяжелых наручей матисов.
_B75C8FCC291EE383	abcmaea06	Чертеж тяжелых нагрудников матисов			Чертеж для изготовления тяжелых нагрудников матисов.
_3C0DC324BC689BE9	abcmaea07	Чертеж легких ботинок матисов			Чертеж для изготовления легких ботинок матисов.
_884DC4826ADD4889	abcmaea08	Чертеж легких рукавиц матисов			Чертеж для изготовления легких рукавиц матисов.
_3CFD8B347C88D3E9	abcmaea09	Чертеж легких поножей матисов			Чертеж для изготовления легких поножей матисов.
_89435E96331BEBB2	abcmaea10	Чертеж легких наручей матисов			Чертеж для изготовления легких наручей матисов.
_F7BBB7CB6A1ECF75	abcmaea11	Чертеж легких нагрудников матисов			Чертеж для изготовления легких нагрудников матисов.
_08BDD7BE2A4BDBCB	abcmaea12	Чертеж средних ботинок матисов			Чертеж для изготовления средних ботинок матисов.
_871E87A075993607	abcmaea13	Чертеж средних рукавиц матисов			Чертеж для изготовления средних рукавиц матисов.
_859ED7BFA72CDBCA	abcmaea14	Чертеж средних поножей матисов			Чертеж для изготовления средних поножей матисов.
_C8049162B5052614	abcmaea15	Чертеж средних наручей матисов			Чертеж для изготовления средних наручей матисов.
_3A8DD7DC0DE71634	abcmaea16	Чертеж средних нагрудников матисов			Чертеж для изготовления средних нагрудников матисов.
_BF72FF37363D1EF7	abcraea01	Чертеж черных ботинок переселенца			Чертеж для изготовления черных ботинок переселенца.
_C1A20F40743D06FB	abcraea02	Чертеж серых ботинок переселенца			Чертеж для изготовления серых ботинок переселенца.
_C0031B3EB78D2AF9	abcraea04	Чертеж зеленых ботинок переселенца			Чертеж для изготовления зеленых ботинок переселенца.
_A3AD98CD05DA6F25	abcraea05	Чертеж красных ботинок переселенца			Чертеж для изготовления красных ботинок переселенца.
_CF350762E11920CC	abcraea06	Чертеж голубых ботинок переселенца			Чертеж для изготовления голубых ботинок переселенца.
_C381337E6C0F378A	abcraea03	Чертеж синих ботинок переселенца			Чертеж для изготовления синих ботинок переселенца.
_158481F9B7E7BA65	abcraea07	Чертеж фиолетовых ботинок переселенца			Чертеж для изготовления фиолетовых ботинок переселенца.
_C1D29746358E0608	abcraea08	Чертеж белых ботинок переселенца			Чертеж для изготовления белых ботинок переселенца.
_4F95BD26BB42EF08	abcraea10	Чертеж черных рукавиц переселенца			Чертеж для изготовления черных рукавиц переселенца.
_D065DD287B42D70C	abcraea09	Чертеж серых рукавиц переселенца			Чертеж для изготовления серых рукавиц переселенца.
_1116E12EFC42FB0A	abcraea12	Чертеж зеленых рукавиц переселенца			Чертеж для изготовления зеленых рукавиц переселенца.
_7FB154406841D84C	abcraea13	Чертеж красных рукавиц переселенца			Чертеж для изготовления красных рукавиц переселенца.
_EA6165BC1F15356F	abcraea14	Чертеж голубых рукавиц переселенца			Чертеж для изготовления голубых рукавиц переселенца.
_95CD234B3D20F103	abcraea11	Чертеж синих рукавиц переселенца			Чертеж для изготовления синих рукавиц переселенца.
_DEA7DD29BE8A58C0	abcraea15	Чертеж фиолетовых рукавиц переселенца			Чертеж для изготовления фиолетовых рукавиц переселенца.
_D06631280042D719	abcraea16	Чертеж белых рукавиц переселенца			Чертеж для изготовления белых рукавиц переселенца.
_BF72FB30FA2DE605	abcraea18	Чертеж черных поножей переселенца			Чертеж для изготовления черных поножей переселенца.
_C1A20B37382DCE09	abcraea17	Чертеж серых поножей переселенца			Чертеж для изготовления серых поножей переселенца.
_C003172CBB7DF207	abcraea20	Чертеж зеленых поножей переселенца			Чертеж для изготовления зеленых поножей переселенца.
_A39D60D745FAA725	abcraea21	Чертеж красных поножей переселенца			Чертеж для изготовления красных поножей переселенца.
_5335075E6109E4CC	abcraea22	Чертеж голубых поножей переселенца			Чертеж для изготовления голубых поножей переселенца.
_4062338329F03789	abcraea19	Чертеж синих поножей переселенца			Чертеж для изготовления синих поножей переселенца.
_15744902B4C8BA65	abcraea23	Чертеж фиолетовых поножей переселенца			Чертеж для изготовления фиолетовых поножей переселенца.
_C1D29334397ECE16	abcraea24	Чертеж белых поножей переселенца			Чертеж для изготовления белых поножей переселенца.
_185755340C7A1FBD	abcraea26	Чертеж черных наручей переселенца			Чертеж для изготовления черных наручей переселенца.
_1B6739330C7A07BB	abcraea25	Чертеж серых наручей переселенца			Чертеж для изготовления серых наручей переселенца.
_9AF8813B0C7A2BC2	abcraea28	Чертеж зеленых наручей переселенца			Чертеж для изготовления зеленых наручей переселенца.
_93924E38F97396B7	abcraea29	Чертеж красных наручей переселенца			Чертеж для изготовления красных наручей переселенца.
_12B7CAA450489049	abcraea30	Чертеж голубых наручей переселенца			Чертеж для изготовления голубых наручей переселенца.
_82B5E526C305D65D	abcraea27	Чертеж синих наручей переселенца			Чертеж для изготовления синих наручей переселенца.
_6CE691588B3A8D90	abcraea31	Чертеж фиолетовых наручей переселенца			Чертеж для изготовления фиолетовых наручей переселенца.
_5F9799454C7A07C8	abcraea32	Чертеж белых наручей переселенца			Чертеж для изготовления белых наручей переселенца.
_806D5C73E1FD607E	abcraea34	Чертеж черных нагрудников переселенца			Чертеж для изготовления черных нагрудников переселенца.
_82FD4476E38D4882	abcraea33	Чертеж серых нагрудников переселенца			Чертеж для изготовления серых нагрудников переселенца.
_81CE7C77E25E8080	abcraea36	Чертеж зеленых нагрудников переселенца			Чертеж для изготовления зеленых нагрудников переселенца.
_BC375BCD2D332782	abcraea37	Чертеж красных нагрудников переселенца			Чертеж для изготовления красных нагрудников переселенца.
_6EC0497F2FB87D78	abcraea38	Чертеж голубых нагрудников переселенца			Чертеж для изготовления голубых нагрудников переселенца.
_A67D788A945A025B	abcraea35	Чертеж синих нагрудников переселенца			Чертеж для изготовления синих нагрудников переселенца.
_98D24B356C2322BE	abcraea39	Чертеж фиолетовых нагрудников переселенца			Чертеж для изготовления фиолетовых нагрудников переселенца.
_822D988024BD9C8F	abcraea40	Чертеж белых нагрудников переселенца			Чертеж для изготовления белых нагрудников переселенца.
_F873BFAE2001C3DC	abctaea01	Чертеж тяжелых ботинок трайкеров			Чертеж для изготовления тяжелых ботинок трайкеров.
_5ECEDF882C3F0AC8	abctaea02	Чертеж тяжелых рукавиц трайкеров			Чертеж для изготовления тяжелых рукавиц трайкеров.
_E0CEBB876ABEFEC1	abctaea03	Чертеж тяжелых шлемов трайкеров			Чертеж для изготовления тяжелых шлемов трайкеров.
_7554BFB09DE2C3DB	abctaea04	Чертеж тяжелых поножей трайкеров			Чертеж для изготовления тяжелых поножей трайкеров.
_8876C94E2C5AB974	abctaea05	Чертеж тяжелых наручей трайкеров			Чертеж для изготовления тяжелых наручей трайкеров.
_3E4A40B1056C024A	abctaea06	Чертеж тяжелых нагрудников трайкеров			Чертеж для изготовления тяжелых нагрудников трайкеров.
_75D3CFB39D61D3DB	abctaea07	Чертеж легких ботинок трайкеров			Чертеж для изготовления легких ботинок трайкеров.
_DB2EDB84AD7F1AC3	abctaea08	Чертеж легких рукавиц трайкеров			Чертеж для изготовления легких рукавиц трайкеров.
_F2B4CFB41A42D3DA	abctaea09	Чертеж легких поножей трайкеров			Чертеж для изготовления легких поножей трайкеров.
_0586A1536D9AB96F	abctaea10	Чертеж легких наручей трайкеров			Чертеж для изготовления легких наручей трайкеров.
_BCAA50B0048B1A49	abctaea11	Чертеж легких нагрудников трайкеров			Чертеж для изготовления легких нагрудников трайкеров.
_4AC3B380665C53BA	abctaea12	Чертеж средних ботинок трайкеров			Чертеж для изготовления средних ботинок трайкеров.
_9866BD5BA4E7DA1D	abctaea13	Чертеж средних рукавиц трайкеров			Чертеж для изготовления средних рукавиц трайкеров.
_4AC3AF74EA4C1BC8	abctaea14	Чертеж средних поножей трайкеров			Чертеж для изготовления средних поножей трайкеров.
_6259FD45CEF753C5	abctaea15	Чертеж средних наручей трайкеров			Чертеж для изготовления средних наручей трайкеров.
_778FF0AAD71FF4D3	abctaea16	Чертеж средних нагрудников трайкеров			Чертеж для изготовления средних нагрудников трайкеров.
_3E8EDF96B998FDE8	abczaea01	Чертеж тяжелых ботинок Зораи			Чертеж для изготовления тяжелых ботинок Зораи.
_8A0ED270299E567D	abczaea02	Чертеж тяжелых рукавиц Зораи			Чертеж для изготовления тяжелых рукавиц Зораи.
_CAAED668693E5A74	abczaea03	Чертеж тяжелых шлемов Зораи			Чертеж для изготовления тяжелых шлемов Зораи.
_3E7EA7A779B835E8	abczaea04	Чертеж тяжелых поножей Зораи			Чертеж для изготовления тяжелых поножей Зораи.
_8CCB5A9AF88CCDA6	abczaea05	Чертеж тяжелых наручей Зораи			Чертеж для изготовления тяжелых наручей Зораи.
_BC3CC3CC489ECD89	abczaea06	Чертеж тяжелых нагрудников Зораи			Чертеж для изготовления тяжелых нагрудников Зораи.
_FEEDF7A0BA48C5EE	abczaea07	Чертеж легких ботинок Зораи			Чертеж для изготовления легких ботинок Зораи.
_4A2DEA7AE9BD6E81	abczaea08	Чертеж легких рукавиц Зораи			Чертеж для изготовления легких рукавиц Зораи.
_FEDDBFB07A68FDEE	abczaea09	Чертеж легких поножей Зораи			Чертеж для изготовления легких поножей Зораи.
_4BEA7294B6ECDDAA	abczaea10	Чертеж легких наручей Зораи			Чертеж для изготовления легких наручей Зораи.
_FC9BEBCB899EB97B	abczaea11	Чертеж легких нагрудников Зораи			Чертеж для изготовления легких нагрудников Зораи.
_CA9DFDB6A92B01C3	abczaea12	Чертеж средних ботинок Зораи			Чертеж для изготовления средних ботинок Зораи.
_49C59B9EF86A28FF	abczaea13	Чертеж средних рукавиц Зораи			Чертеж для изготовления средних рукавиц Зораи.
_477EFDB7260C01C2	abczaea14	Чертеж средних поножей Зораи			Чертеж для изготовления средних поножей Зораи.
_A964BD70F805180C	abczaea15	Чертеж средних наручей Зораи			Чертеж для изготовления средних наручей Зораи.
_FC6D0B580BC74039	abczaea16	Чертеж средних нагрудников Зораи			Чертеж для изготовления средних нагрудников Зораи.
_20E81FA7FD0AC544	abcfjea01	Чертеж ножных браслетов файросов			Чертеж для изготовления ножных браслетов файросов.
_B9FC27373124C3A1	abcfjea02	Чертеж браслетов файросов			Чертеж для изготовления браслетов файросов.
_20F7F79C3CBAD13D	abcfjea03	Чертеж диадем файросов			Чертеж для изготовления диадем файросов.
_657D2386E5EDDDFB	abcfjea04	Чертеж серег файросов			Чертеж для изготовления серег файросов.
_631CDB87A99E1108	abcfjea05	Чертеж кулонов файросов			Чертеж для изготовления кулонов файросов.
_CEC192F072519602	abcfjea06	Чертеж колец файросов			Чертеж для изготовления колец файросов.
_6307438FBF0AC53E	abcmjea01	Чертеж ножных браслетов матисов			Чертеж для изготовления ножных браслетов матисов.
_7DFA5F373124C395	abcmjea02	Чертеж браслетов матисов			Чертеж для изготовления браслетов матисов.
_63161B84FEBAD137	abcmjea03	Чертеж диадем матисов			Чертеж для изготовления диадем матисов.
_271CDF8DE5EDDDF5	abcmjea04	Чертеж серег матисов			Чертеж для изготовления серег матисов.
_25BB978EA99E1102	abcmjea05	Чертеж кулонов матисов			Чертеж для изготовления кулонов матисов.
_1140AEEAF3D0B2FC	abcmjea06	Чертеж колец матисов			Чертеж для изготовления колец матисов.
_293C136D9CBE22ED	abctjea01	Чертеж ножных браслетов трайкеров			Чертеж для изготовления ножных браслетов трайкеров.
_F76B2E601B5C22F2	abctjea02	Чертеж браслетов трайкеров			Чертеж для изготовления браслетов трайкеров.
_271CD76D5DBE06E6	abctjea03	Чертеж диадем трайкеров			Чертеж для изготовления диадем трайкеров.
_47FE97FF19CC9B93	abctjea04	Чертеж серег трайкеров			Чертеж для изготовления серег трайкеров.
_417CB716196E9B83	abctjea05	Чертеж кулонов трайкеров			Чертеж для изготовления кулонов трайкеров.
_E54631A5FBA4F5EC	abctjea06	Чертеж колец трайкеров			Чертеж для изготовления колец трайкеров.
_44676F9D020AB736	abczjea01	Чертеж ножных браслетов Зораи			Чертеж для изготовления ножных браслетов Зораи.
_BEBAC7373124A785	abczjea02	Чертеж браслетов			Чертеж для изготовления браслетов
_4476479241BAC32F	abczjea03	Чертеж диадем Зораи			Чертеж для изготовления диадем Зораи.
_E7DC4B9AE5EDCF69	abczjea04	Чертеж серег Зораи			Чертеж для изготовления серег Зораи.
_E57B039BA99E0376	abczjea05	Чертеж кулонов Зораи			Чертеж для изготовления кулонов Зораи.
_D320D4E272B0D8F4	abczjea06	Чертеж колец Зораи			Чертеж для изготовления колец Зораи.
_8DA166EA31316AFD	abcfmea08	Чертеж палиц файросов			Чертеж для изготовления палиц файросов.
_CB17E9C2871E3546	abcfmea09	Чертеж посохов файросов			Чертеж для изготовления посохов файросов.
_20780F9ABD3AD145	abcfmea06	Чертеж кинжалов файросов			Чертеж для изготовления кинжалов файросов.
_8BE71DAC05EEE93F	abcfmea07	Чертеж копий файросов			Чертеж для изготовления копий файросов.
_8362155B970B515F	abcfmea05	Чертеж топоров файросов			Чертеж для изготовления топоров файросов.
_1E57556550C4BC39	abcfmea11	Чертеж пылающих топоров файросов			Чертеж для изготовления пылающих топоров файросов.
_4BD821BACAFE4146	abcfmea10	Чертеж мечей файросов			Чертеж для изготовления мечей файросов.
_24191ACB4D485E97	abcfmea03	Чертеж длинных палиц файросов			Чертеж для изготовления длинных палиц файросов.
_4EA186ECF2318A05	abcfmea02	Чертеж пик файросов			Чертеж для изготовления пик файросов.
_177C8F3037425B6E	abcfmea01	Чертеж длинных топоров файросов			Чертеж для изготовления длинных топоров файросов.
_B9E71FBF5B84AEE8	abcfmea13	Чертеж пылающих длинных топоров файросов			Чертеж для изготовления пылающих длинных топоров файросов.
_9F8BB3CE2A53FAD1	abcfmea04	Чертеж длинных мечей файросов			Чертеж для изготовления длинных мечей файросов.
_83621B786FF01F91	abcfmea12	Чертеж пылающих длинных мечей файросов			Чертеж для изготовления пылающих длинных мечей файросов.
_D02082E4B2B086F7	abcmmea08	Чертеж палиц матисов			Чертеж для изготовления палиц матисов.
_0E96EDC4818E3540	abcmmea09	Чертеж посохов матисов			Чертеж для изготовления посохов матисов.
_639733827F3AD13F	abcmmea06	Чертеж кинжалов матисов			Чертеж для изготовления кинжалов матисов.
_E4EB0B7B9D0D12F5	abcmmea11	Чертеж живых кинжалов матисов			Чертеж для изготовления живых кинжалов матисов.
_CE6621AEFF5EE939	abcmmea07	Чертеж копий матисов			Чертеж для изготовления копий матисов.
_C6E1315B162BF160	abcmmea05	Чертеж топоров матисов			Чертеж для изготовления топоров матисов.
_8E5725BCC46E4140	abcmmea10	Чертеж мечей матисов			Чертеж для изготовления мечей матисов.
_E5B62B8082CFAC78	abcmmea12	Чертеж живых мечей матисов			Чертеж для изготовления живых мечей матисов.
_610836CB4D484693	abcmmea03	Чертеж длинных палиц матисов			Чертеж для изготовления длинных палиц матисов.
_9120A2E673B0A6FF	abcmmea02	Чертеж пик матисов			Чертеж для изготовления пик матисов.
_DB7AC73037425B62	abcmmea01	Чертеж длинных топоров матисов			Чертеж для изготовления длинных топоров матисов.
_A40ACFCE2AF302B3	abcmmea04	Чертеж длинных мечей матисов			Чертеж для изготовления длинных мечей матисов.
_659611A03824E1EF	abctmea08	Чертеж палиц трайкеров			Чертеж для изготовления палиц трайкеров.
_E115959634A505ED	abctmea11	Чертеж волнистых палиц			Чертеж для изготовления волнистых палиц.
_23A79B827C808887	abctmea09	Чертеж посохов трайкеров			Чертеж для изготовления посохов трайкеров.
_E7ACCF685DBE1AEE	abctmea06	Чертеж кинжалов трайкеров			Чертеж для изготовления кинжалов трайкеров.
_62674386B70F8886	abctmea07	Чертеж копий трайкеров			Чертеж для изготовления копий трайкеров.
_8056BAC3A8E6BEF9	abctmea05	Чертеж топоров трайкеров			Чертеж для изготовления топоров трайкеров.
_2667D7877C808885	abctmea10	Чертеж мечей трайкеров			Чертеж для изготовления мечей трайкеров.
_7A6B82EF5623539A	abctmea03	Чертеж длинных палиц трайкеров			Чертеж для изготовления длинных палиц трайкеров.
_815A0EE3D8526B87	abctmea12	Чертеж волнистых длинных палиц			Чертеж для изготовления волнистых длинных палиц.
_6516319D3AA4EDEF	abctmea02	Чертеж пик трайкеров			Чертеж для изготовления пик трайкеров.
_3B0A4A5A1CDD61B4	abctmea01	Чертеж длинных топоров трайкеров			Чертеж для изготовления длинных топоров трайкеров.
_3BBA2C05318D03F7	abctmea04	Чертеж длинных мечей трайкеров			Чертеж для изготовления длинных мечей трайкеров.
_9200A8DC3190ACEF	abczmea08	Чертеж палиц Зораи			Чертеж для изготовления палиц Зораи.
_D03D01C2045F2738	abczmea09	Чертеж посохов Зораи			Чертеж для изготовления посохов Зораи.
_AD2E70F0626D2F23	abczmea12	Чертеж электрических длинных палиц		Electric Long Mace Patterns	Чертеж для изготовления электрических длинных палиц.
_44F75F90C23AC337	abczmea06	Чертеж кинжалов Зораи			Чертеж для изготовления кинжалов Зораи.
_900D35AC822FDB31	abczmea07	Чертеж копий Зораи			Чертеж для изготовления копий Зораи.
_BE5C9518FD2EAB7E	abczmea11	Чертеж электрических копий			Чертеж для изготовления электрических копий.
_88C165D7140B1B65	abczmea05	Чертеж топоров Зораи			Чертеж для изготовления топоров Зораи.
_50FE39BA473F3338	abczmea10	Чертеж мечей Зораи			Чертеж для изготовления мечей Зораи.
_A6B96ACB4D0F1889	abczmea03	Чертеж длинных палиц Зораи			Чертеж для изготовления длинных палиц Зораи.
_5300C8DEF290CCF7	abczmea02	Чертеж пик Зораи			Чертеж для изготовления пик Зораи.
_1C54F2A1DEC387BF	abczmea13	Чертеж электрических палиц		Electric Mace Patterns	Чертеж для изготовления электрических палиц.
_1C3A2F3037423F52	abczmea01	Чертеж длинных топоров Зораи			Чертеж для изготовления длинных топоров Зораи.
_A9EA03CE4973ECB9	abczmea04	Чертеж длинных мечей Зораи			Чертеж для изготовления длинных мечей Зораи.
_B93B3ECA8F39C20B	abcfrea05	Чертеж самострелов файросов			Чертеж для изготовления самострелов файросов.
_A2E867ADC3BA0144	abcfrea04	Чертеж пистолетов файросов			Чертеж для изготовления пистолетов файросов.
_7D4E14C021DE18DF	abcfrea01	Чертеж автометателей файросов			Чертеж для изготовления автометателей файросов.
_BBDED7313142FB9D	abcfrea02	Чертеж арбалетов файросов			Чертеж для изготовления арбалетов файросов.
_B75CC71637E4C3A1	abcfrea03	Чертеж метателей файросов			Чертеж для изготовления метателей файросов.
_8B77FDB3C96E094A	abcfrea06	Чертеж ружей файросов			Чертеж для изготовления ружей файросов.
_F62A5ACA8F39AA07	abcmrea05	Чертеж самострелов матисов			Чертеж для изготовления самострелов матисов.
_E5078B9585BA013E	abcmrea04	Чертеж пистолетов матисов			Чертеж для изготовления пистолетов матисов.
_C0CD30BAA25D34D9	abcmrea01	Чертеж автометателей матисов			Чертеж для изготовления автометателей матисов.
_7FDC0F313142FB91	abcmrea02	Чертеж арбалетов матисов			Чертеж для изготовления арбалетов матисов.
_7B5AFF1637E4C395	abcmrea03	Чертеж метателей матисов			Чертеж для изготовления метателей матисов.
_CEF601B5C3DE0944	abcmrea06	Чертеж ружей матисов			Чертеж для изготовления ружей матисов.
_BDCCB201DAE80FF1	abctrea05	Чертеж самострелов трайкеров			Чертеж для изготовления самострелов трайкеров.
_AD3E1F7A60BE02F7	abctrea04	Чертеж пистолетов трайкеров			Чертеж для изготовления пистолетов трайкеров.
_E013B36C7142C3CE	abctrea01	Чертеж автометателей трайкеров			Чертеж для изготовления автометателей трайкеров.
_409B2251196C1A0D	abctrea02	Чертеж арбалетов трайкеров			Чертеж для изготовления арбалетов трайкеров.
_BF9B12699A1C0A03	abctrea03	Чертеж метателей трайкеров			Чертеж для изготовления метателей трайкеров.
_A5E78783B970888B	abctrea06	Чертеж ружей трайкеров			Чертеж для изготовления ружей трайкеров.
_3BDB8ECA8F007CFD	abczrea05	Чертеж самострелов Зораи			Чертеж для изготовления самострелов Зораи.
_C667B7A3C8BAF336	abczrea04	Чертеж пистолетов Зораи			Чертеж для изготовления пистолетов Зораи.
_82AD56B2213D5AD1	abczrea01	Чертеж автометателей Зораи			Чертеж для изготовления автометателей Зораи.
_C09C77313142DF81	abczrea02	Чертеж арбалетов Зораи			Чертеж для изготовления арбалетов Зораи.
_BC1A671637E4A785	abczrea03	Чертеж метателей Зораи			Чертеж для изготовления метателей Зораи.
_909D15B346AFFB3C	abczrea06	Чертеж ружей Зораи			Чертеж для изготовления ружей Зораи.
_E43CCB8829BD0906	abcfsea01	Чертеж малых щитов файросов			Чертеж для изготовления малых щитов файросов.
_E277339B01AA0D3D	abcfsea02	Чертеж щитов файросов			Чертеж для изготовления щитов файросов.
_A6DB878F29BD0900	abcmsea01	Чертеж малых щитов матисов			Чертеж для изготовления малых щитов матисов.
_25965783C3AA0D37	abcmsea02	Чертеж щитов матисов			Чертеж для изготовления щитов матисов.
_C31C37F6192E53A2	abctsea01	Чертеж малых щитов трайкеров			Чертеж для изготовления малых щитов трайкеров.
_29ACF37A20BEE2ED	abctsea02	Чертеж щитов трайкеров			Чертеж для изготовления щитов трайкеров.
_669BF39C29BDFB74	abczsea01	Чертеж малых щитов Зораи			Чертеж для изготовления малых щитов Зораи.
_06F6839106AAFF2F	abczsea02	Чертеж щитов Зораи			Чертеж для изготовления щитов Зораи.
_E23960805AF2AF45	abhf01	Собирательство			Собирательство ресурсов.
_E9F9C481DC25C37E	abhq01	Свежевание			Свежевание дичи.
_68847020DAB98CAC	abcraeb07	Ботинки переселенца			
_18A8902D59E950AD	abcraeb08	Рукавицы переселенца			
_E7D8F01259F8905B	abcraeb10	Наручи переселенца			
_331A78ECF91FA36C	abcfaca01	Изготовление доспехов файросов 1			Позволяет изготовить доспехи файросов 10 уровня качества.
_331A7CED391FA36C	abcfaca02	Изготовление доспехов файросов 2			Позволяет изготовить доспехи файросов 20 уровня качества.
_331A80EE791FA36C	abcfaca03	Изготовление доспехов файросов 3			Позволяет изготовить доспехи файросов 30 уровня качества.
_331A84EFBA1FA36C	abcfaca04	Изготовление доспехов файросов 4			Позволяет изготовить доспехи файросов 40 уровня качества.
