*HASH_VALUE	skill ID	name	p	description
_4EBA8627BCE9FB22	SMTOES	Магия ударных волн	Нанесение магического урона выбранной цели - ударная волна	Нанесение магического урона выбранной цели - ударная волна
_3067100BD3BAF278	SMTOEP	Отравляющая магия	Нанесение магического урона выбранной цели - яд	Нанесение магического урона выбранной цели - яд
_D21C1B9D62E4E80B	SMTOEE	Электромагия	Нанесение магического урона выбранной цели - электрошок	Нанесение магического урона выбранной цели - электрошок
_98C6999187B4ECD5	SMTC	Магия восстановления	Восстановительное заклинание, направленное на выбранную цель	Восстановительное заклинание, направленное на выбранную цель
_1C592673394B71F2	SMTCH	Магия исцеления	Исцеление выбранной цели	Исцеление выбранной цели
_4DB24B824181B32C	SMTCHP	Магия восстановления здоровья	Восстановление здоровья выбранной цели	Восстановление здоровья выбранной цели
_AB6C41A608125261	SMTCHT	Магия восстановления выносливости	Восстановление выносливости выбранной цели	Восстановление выносливости выбранной цели
_E66C7DA243120670	SMTCHA	Магия восстановления сэп	Восстановление сэп выбранной цели	Восстановление сэп выбранной цели
_9AE1FE031A7EE557	SMTCHC	Магия восстановления концентрации	Восстановление параметра концентрация у выбранной цели	Восстановление параметра концентрация у выбранной цели
_46B77B460102495E	SMTCB	Разрыв контакта	Разрыв контакта враждебного заклятия на выбранной цели 	Разрыв контакта враждебного заклятия на выбранной цели 
_462522C946AAA84C	SMTCBD	Разрыв контакта боевых заклятий	Разрыв контакта боевых заклятий на выбранной цели 	Разрыв контакта боевых заклятий на выбранной цели 
_BAED0EEFDA4CAF03	SMTCBS	Разрыв контакта заклятий ослабления	Разрыв контакта заклятий ослабления на выбранной цели 	Разрыв контакта заклятий ослабления на выбранной цели 
_7DF1A856845BD4A4	SMTCBC	Разрыв контакта проклятий	Разрыв контакта проклятий  на выбранной цели 	Разрыв контакта проклятий  на выбранной цели 
_EC5CF9A83799E909	SML	Контакт заклятия с целью	Контакт заклятия с целью	Контакт заклятия с целью
_49BDA32074154396	SMLM	Контакт трассирующего заклятия	Контакт трассирующего заклятия	Контакт трассирующего заклятия
_A5889DC6411B4045	SMLMR	Контакт заклятия предвечной магии	Контакт заклятия предвечной магии	Контакт заклятия предвечной магии
_7F38346ED5250EB1	SMLMG	Контакт заклятия атизианской магии	Контакт заклятия атизианской магии	Контакт заклятия атизианской магии
_F154BD51B879CEA6	SMLMB	Контакт заклятия благой магии	Контакт заклятия благой магии	Контакт заклятия благой магии
_BCBB4C69BD7DC709	SMLO	Контакт заклятия боевой магии	Контакт заклятия боевой магии	Контакт заклятия боевой магии
_DBDAA3F080A8CDEA	SMLOS	Контакт заклятия магии ослабления	Контакт заклятия магии ослабления	Контакт заклятия магии ослабления
_2AD6ADF15F54B9A9	SMLOSM	Контакт заклятия безумия	Контакт заклятия магии ослабления - Безумие	Контакт заклятия магии ослабления - Безумие
_9E70C9DEE9FF46B5	SMLOSS	Контакт заклятия замедления	Контакт заклятия магии ослабления - замедление	Контакт заклятия магии ослабления - замедление
_7E7703067DE75B7F	SMLOSR	Контакт заклятия уязвимости	Контакт заклятия магии ослабления - уязвимость	Контакт заклятия магии ослабления - уязвимость
_5CF0E5E2A9EF52B4	SMLOSK	Контакт заклятия потери навыков	Контакт заклятия магии ослабления - потеря навыков	Контакт заклятия магии ослабления - потеря навыков
_1A9E72A457E6332F	SMLOC	Контакт проклинающих заклятий	Контакт проклинающих заклятий	Контакт проклинающих заклятий
_A24F5221B08315C8	SMLOCI	Контакт заклятия бессилия	Контакт проклинающего заклятия - бессилие	Контакт проклинающего заклятия - бессилие
_7AB2ED7B34EF2467	SMLOCM	Контакт заклятия: помешательство	Контакт проклинающего заклятия - мозговорот	Контакт проклинающего заклятия - мозговорот
_6B2E163F2752E1E9	SMLOCS	Контакт заклятия невезения	Контакт проклинающего заклятия - невезение	Контакт проклинающего заклятия - невезение
_69C1EA4113DCAA84	SMLOCH	Контакт заклятия ненависти	Контакт проклинающего заклятия - ненависть	Контакт проклинающего заклятия - ненависть
_A366797FAB86DDB9	SMLOD	Контакт заклятий повреждающей магии	Контакт заклятий повреждающей магии	Контакт заклятий повреждающей магии
_D4930C23EB04A3FB	SMLODP	Контакт заклятий проникающего повреждения	Контакт повреждающего заклятия: проникающее повреждение	Контакт повреждающего заклятия: проникающее повреждение
_D433281CECA477FB	SMLODB	Контакт заклятий ударного урона	Контакт повреждающего заклятия: удар	Контакт повреждающего заклятия: удар
_D433281C6C94BBFB	SMLODS	Контакт заклятий рубящего урона	Контакт повреждающего заклятия: рубящий урон	Контакт повреждающего заклятия: рубящий урон
_CB32B9D795344045	SMLOE	Контакт заклятий магии стихий	Контакт повреждающего заклятия: магия стихий	Контакт повреждающего заклятия: магия стихий
_AC052ACEDC879E4D	SMLOEC	Контакт заклятия холода	Контакт заклятия магии стихий: холод	Контакт заклятия магии стихий: холод
_EB4522C8D647964D	SMLOEA	Контакт заклятия кислот	Контакт заклятия магии стихий: кислоты	Контакт заклятия магии стихий: кислоты
_A77ED7C6453198F2	SMLOER	Контакт заклятия гниения	Контакт заклятия магии стихий: гниение	Контакт заклятия магии стихий: гниение
_2DA53EDADAE7AA4E	SMLOEF	Контакт заклятия огня	Контакт заклятия магии стихий: огонь	Контакт заклятия магии стихий: огонь
_A794EB51965BCCCC	SMLOES	Контакт заклятия ударной волны	Контакт заклятия магии стихий: ударная волна	Контакт заклятия магии стихий: ударная волна
_59AA2974CC81CA3D	SMLOEP	Контакт заклятия яда	Контакт заклятия магии стихий: яд	Контакт заклятия магии стихий: яд
_3A2202E09E2FB961	SMLOEE	Контакт заклятия электрошок	Контакт заклятия магии стихий: электрошок	Контакт заклятия магии стихий: электрошок
_F6CE98E462BC4BE7	SMLC	Контакт восстанавливающих заклятий	Контакт восстанавливающих заклятий	Контакт восстанавливающих заклятий
_C03EED1A18979456	SMLCH	Контакт исцеляющих заклятий	Контакт исцеляющих заклятий	Контакт исцеляющих заклятий
_47BAADEFB7F6F367	SMLCHP	Контакт заклятия исцеления здоровья	Контакт заклятия исцеления здоровья	Контакт заклятия исцеления здоровья
_ED574D3D8E3C6092	SMLCHT	Контакт заклятия восстановления выносливости	Контакт заклятия восстановления выносливости	Контакт заклятия восстановления выносливости
_ED574D5BC80B1492	SMLCHA	Контакт заклятия восстановления сэп	Контакт заклятия восстановления сэп	Контакт заклятия восстановления сэп
_D170317EE36037EE	SMLCHC	Контакт заклятия восстановления концентрации	Контакт заклятия восстановления концентрации	Контакт заклятия восстановления концентрации
_6BE71C3763BA2EC0	SMA	Autonomous Magic	Magic Autonomous	Magic autonomous
_038C64191738E825	SMAE	Зачаровывание предметов	Зачаровывание предметов	Зачаровывание предметов
_11B74D99C76C41BB	SMAES	Зачаровывание предметов: наложение заклятий	Зачаровывание предметов: наложение заклятий	Зачаровывание предметов: наложение заклятий
_D0178DABC8BB21B3	SMAEB	Зачаровывание предметов: улучшение параметров	Зачаровывание предметов: улучшение параметров	Зачаровывание предметов: улучшение параметров
_167E8049BBAE1327	SMAP	Магия зельеварения	Магия зельеварения	Магия зельеварения
_6718E88297C7DCB2	SD	Защита	Защита	Защита
_47FC9798E127AA6B	SDA	Защита: доспехи	Защита: доспехи	Защита: доспехи
_DF240440B31A8CFA	SDAL	Защита: легкий доспех	Защита: легкий доспех	Защита: легкий доспех
_2579E5B65A42F5E0	SDALF	Защита: легкий доспех файросов	Защита: легкий доспех файросов	Защита: легкий доспех файросов
_3A4A70B02FCE757E	SDALFA	Улучшенная защита: легкий доспех файросов	Улучшенная защита: легкий доспех файросов	Улучшенная защита: легкий доспех файросов
_092D87890ABD27A8	SDALFAE	Продвинутая защита: легкий доспех файрос	Продвинутая защита: легкий доспех файросов	Продвинутая защита: легкий доспех файросов
_600985BD5AE2E5D1	SDALM	Защита: легкий доспех матисов	Защита: легкий доспех матисов	Защита: легкий доспех матисов
_3A4A58A62B3CAD85	SDALMA	Улучшенная защита: легкий доспех матисов	Улучшенная защита: легкий доспех матисов	Улучшенная защита: легкий доспех матисов
_4A4D2790897DCF9E	SDALMAE	Продвинутая защита: легкий доспех матисов	Продвинутая защита: легкий доспех матисов	Продвинутая защита: легкий доспех матисов
_1356288C143BE4EB	SDALT	Защита: легкий доспех трайкеров	Защита: легкий доспех трайкеров	Защита: легкий доспех трайкеров
_BA6BD0D36826EDDC	SDALTA	Улучшенная защита: легкий доспех трайкеров	Улучшенная защита: легкий доспех трайкеров	Улучшенная защита: легкий доспех трайкеров
_6BDFC5F35AA8E5CB	SDALTAE	Продвинутая защита: легкий доспех трайкеров	Продвинутая защита: легкий доспех трайкеров	Продвинутая защита: легкий доспех трайкеров
_24BABDCA7929BD66	SDALZ	Защита: легкий доспех зораи	Защита: легкий доспех зораи	Защита: легкий доспех зораи
_3A111C94ACCD1592	SDALZA	Улучшенная защита: легкий доспех зораи	Улучшенная защита: легкий доспех зораи	Улучшенная защита: легкий доспех зораи
_8B2D5F19A6DDFF42	SDALZAE	Продвинутая защита: легкий доспех зораи	Продвинутая защита: легкий доспех зораи	Продвинутая защита: легкий доспех зораи
_C61C242303F92188	SDAM	Защита: средний доспех	Защита: средний доспех	Защита: средний доспех
_1A130B6E81DBBC22	SDAMF	Защита: средний доспех файросов	Защита: средний доспех файросов	Защита: средний доспех файросов
_F684003775869139	SDAMFA	Улучшенная защита: средний доспех файросов	Улучшенная защита: средний доспех файросов	Улучшенная защита: средний доспех файросов
_3874F6C7BF6AF50E	SDAMFAE	Продвинутая защита: средний доспех файросов	Продвинутая защита: средний доспех файросов	Продвинутая защита: средний доспех файросов
_DC130B6E7FBB041F	SDAMM	Защита: средний доспех матисов	Защита: средний доспех матисов	Защита: средний доспех матисов
_F4C428476FF69140	SDAMMA	Улучшенная защита: средний доспех матисов	Улучшенная защита: средний доспех матисов	Улучшенная защита: средний доспех матисов
_FA74F6BBC10835FD	SDAMMAE	Продвинутая защита: средний доспех матисов	Продвинутая защита: средний доспех матисов	Продвинутая защита: средний доспех матисов
_6C1ADF5A0499E469	SDAMT	Защита: средний доспех трайкеров	Защита: средний доспех трайкеров	Защита: средний доспех трайкеров
_83F88DBB25238239	SDAMTA	Улучшенная защита: средний доспех трайкеров	Улучшенная защита: средний доспех трайкеров	Улучшенная защита: средний доспех трайкеров
_BB346CA339E33BB8	SDAMTAE	Продвинутая защита: средний доспех трайкеров	Продвинутая защита: средний доспех трайкеров	Продвинутая защита: средний доспех трайкеров
_1F130B669AFB6C54	SDAMZ	Защита: средний доспех зораи	Защита: средний доспех зораи	Защита: средний доспех зораи
_F04B785FF2C79145	SDAMZA	Улучшенная защита: средний доспех зораи	Улучшенная защита: средний доспех зораи	Улучшенная защита: средний доспех зораи
_3D74DAABDE489518	SDAMZAE	Продвинутая защита: средний доспех зораи	Продвинутая защита: средний доспех зораи	Продвинутая защита: средний доспех зораи
_65CEFF6A2003977E	SDAH	Защита: тяжелый доспех	Защита: тяжелый доспех	Защита: тяжелый доспех
_C479F639145D6001	SDAHF	Защита: тяжелый доспех файросов	Защита: тяжелый доспех файросов	Защита: тяжелый доспех файросов
_3EAC30A425CE7583	SDAHFA	Улучшенная защита: тяжелый доспех файросов	Улучшенная защита: тяжелый доспех файрос	Улучшенная защита: тяжелый доспех файросов
_073BD391888D4FA2	SDAHFAE	Продвинутая защита: тяжелый доспех файросов	Продвинутая защита: тяжелый доспех файросов	Продвинутая защита: тяжелый доспех файросов
_C9F81239149D70D2	SDAHM	Защита: тяжелый доспех матисов	Защита: тяжелый доспех матисов	Защита: тяжелый доспех матисов
_3EAC189A213CAD8A	SDAHMA	Улучшенная защита: тяжелый доспех матисов	Улучшенная защита: тяжелый доспех матисов	Улучшенная защита: тяжелый доспех матисов
_485B7398074DF798	SDAHMAE	Продвинутая защита: тяжелый доспех матисов	Продвинутая защита: тяжелый доспех матисов	Продвинутая защита: тяжелый доспех матисов
_B6A20C403649A4AE	SDAHT	Защита: тяжелый доспех трайкеров	Защита: тяжелый доспех трайкеров	Защита: тяжелый доспех трайкеров
_F8CC18CF672615F8	SDAHTA	Улучшенная защита: тяжелый доспех трайкеров	Улучшенная защита: тяжелый доспех трайкеров	Улучшенная защита: тяжелый доспех трайкеров
_6A7F35ECDBC8D5A7	SDAHTAE	Продвинутая защита: тяжелый доспех трайкеров	Продвинутая защита: тяжелый доспех трайкеров	Продвинутая защита: тяжелый доспех трайкеров
_CED84639529D52F3	SDAHZ	Защита: тяжелый доспех зораи	Защита: тяжелый доспех зораи	Защита: тяжелый доспех зораи
_3E73DC88A2CD1597	SDAHZA	Улучшенная защита: тяжелый доспех зораи	Улучшенная защита: тяжелый доспех зораи	Улучшенная защита: тяжелый доспех зораи
_893BAB2124AD273C	SDAHZAE	Продвинутая защита: тяжелый доспех зораи	Продвинутая защита: тяжелый доспех зораи	Продвинутая защита: тяжелый доспех зораи
_DE59E2BD5DB342FF	SDS	Защита: Щиты	Защита: Щиты	Shield defense
_665F9EF3CB6AFB1B	SDSB	Защита: Малые щиты	Защита: Малые щиты	Защита: Малые щиты
_D6918DC8D2A2E5CE	SDSBF	Защита: Малые щиты файросов	Защита: Малые щиты файросов	Защита: Малые щиты файросов
_C86A36DA0E32349A	SDSBFA	Улучшенная защита: Малые щиты файрос	Улучшенная защита: Малые щиты файросов	Улучшенная защита: Малые щиты файросов
_A4548401996016AB	SDSBFAE	Продвинутая защита: Малые щиты файрос	Продвинутая защита: Малые щиты файросов	Продвинутая защита: Малые щиты файросов
_D63031D1CC12E5CF	SDSBM	Защита: Малые щиты матис	Защита: Малые щиты матисов	Защита: Малые щиты матисов
_478ABEE387C2D4A8	SDSBMA	Улучшенная защита: Малые щиты матисов	Улучшенная защита: Малые щиты матисов	Улучшенная защита: Малые щиты матисов
_A6F2C4E95B6016A6	SDSBMAE	Продвинутая защита: Малые щиты матисов	Продвинутая защита: Малые щиты матисов	Продвинутая защита: Малые щиты матисов
_51FB4C92F22370C2	SDSBT	Защита: Малые щиты трайкеров	Защита: Малые щиты трайкеров	Защита: Малые щиты трайкеров
_F5FC35CF01993F77	SDSBTA	Улучшенная защита: Малые щиты трайкеров	Улучшенная защита: Малые щиты трайкеров	Улучшенная защита: Малые щиты трайкеров
_CB8B716BE2BDD2E5	SDSBTAE	Продвинутая защита: Малые щиты трайкеров	Продвинутая защита: Малые щиты трайкеров	Продвинутая защита: Малые щиты трайкеров
_53B77DDC4FE3D750	SDSBZ	Защита: Малые щиты зораи	Защита: Малые щиты зораи	Защита: Малые щиты зораи
_4531D66A08730C3E	SDSBZA	Улучшенная защита: Малые щиты зораи	Улучшенная защита: Малые щиты зораи	Улучшенная защита: Малые щиты зораи
_C33224F79E60FAA3	SDSBZAE	Продвинутая защита: Малые щиты зораи	Продвинутая защита: Малые щиты зораи	Продвинутая защита: Малые щиты зораи
_5FD3FF521B70122A	SDSS	Защита: Большие щиты	Защита: Большие щиты	Защита: Большие щиты
_258E3057B65FB8DE	SDSSF	Защита: Большие щиты файросов	Защита: Большие щиты файросов	Защита: Большие щиты файросов
_9F6C03EC2EAA8BE4	SDSSFA	Улучшенная защита: Большие щиты файросов	Улучшенная защита: Большие щиты файросов	Улучшенная защита: Большие щиты файросов
_1D4FFD6D6A2C3E8D	SDSSFAE	Продвинутая: Большие щиты файросов	Продвинутая: Большие щиты файросов	Продвинутая: Большие щиты файрос
_601ED05EB6FFA8CF	SDSSM	Защита: Большие щиты матисов	Защита: Большие щиты матисов	Защита: Большие щиты матисов
_9F6CEBE22A18C3EB	SDSSMA	Улучшенная защита: Большие щиты матисов	Улучшенная защита: Большие щиты матисов	Улучшенная защита: Большие щиты матисов
_5E6F9D74E9ECE683	SDSSMAE	Продвинутая: Большие щиты матисов	Продвинутая: Большие щиты матисов	Продвинутая: Большие щиты матисов
_51DBC6685ABE9FD1	SDSST	Защита: Большие щиты трайкеров	Защита: Большие щиты трайкеров	Защита: Большие щиты трайкеров
_2F803FE71B4DC937	SDSSTA	Улучшенная защита: Большие щиты трайкеров	Улучшенная защита: Большие щиты трайкеров	Улучшенная защита: Большие щиты трайкеров
_CF74B5C12A6BB8B9	SDSSTAE	Продвинутая: Большие щиты трайкеров	Продвинутая: Большие щиты трайкеров	Продвинутая: Большие щиты трайкеров
_24CF086BD5468064	SDSSZ	Защита: Большие щиты зораи	Защита: Большие щиты зораи	Защита: Большие щиты зораи
_9F33AFD0ABA92BF8	SDSSZA	Улучшенная защита: Большие щиты зораи	Улучшенная защита: Большие щиты зораи	Улучшенная защита: Большие щиты зораи
_9F4FD5FD064C1627	SDSSZAE	Продвинутая: Большие щиты зораи	Продвинутая: Большие щиты зораи	Продвинутая: Большие щиты зораи
_E4FEE2CD5824CE04	SDD	Защита: уклонение	Защита: уклонение	Защита: уклонение
_B2FD6E00FC67D675	SDDA	Стандартная защита: уклонение	Стандартная защита: уклонение	Стандартная защита: уклонение
_0FC86202AE2E2D7F	SDDAT	Улучшенная защита: уклонение	Улучшенная защита: уклонение	Улучшенная защита: уклонение
_2ABBBA0B2EA265E1	SDDATM	Продвинутая защита: уклонение	Продвинутая защита: уклонение	Продвинутая защита: уклонение
_56D22F619ED6AB31	SDDATME	Превосходная защита: уклонение	Превосходная защита: уклонение	Превосходная защита: уклонение
_97F03668731C6899	uknown	Неизвестный навык	Неизвестный навык	Неизвестный навык
_CDE48A297AAB6A68	Unknown	Неизвестный навык	Неизвестный навык	Неизвестный навык
_E869049E9CF76CBE	SH	Добыча ресурсов	Добыча ресурсов	Добыча ресурсов
_60170C8820B7888C	SHF	Добытчик	Добыча	
_442BD9F7265A5C60	SHFF	Добытчик: Лес	Добытчики: Лес	
_ABAB732E8EFA5E6D	SHFFA	Продвинутый добытчик: Лес	Продвинутые добытчики: Лес	
_E6CB0BDADA2125AF	SHFFAE	Опытный добытчик: Лес	Опытные добытчики: Лес	
_B10C1FBB94DEE8D9	SHFFAEM	Мастер добытчик: Лес	Мастера добытчики: Лес	
_C42BD5F666CA2C5E	SHFD	Добытчик: Пустыня	Добытчики: Пустыня	
_6BFB6B2F0CDA5A6D	SHFDA	Продвинутый добытчик: Пустыня	Продвинутые добытчики: Пустыня	
_66BB07DB98611DAF	SHFDAE	Опытный добытчик: Пустыня	Опытные добытчики: Пустыня	
_31EC1FBD909EE8D9	SHFDAEM	Мастер добытчик: Пустыня	Мастера добытчики: Пустыня	
_453A81F2A57A8464	SHFJ	Добытчик: Джунгли	Добытчики: Джунгли	
_E79B8B2A1049426F	SHFJA	Продвинутый добытчик: Джунгли	Продвинутые добытчики: Джунгли	
_2369F7D85BC235AF	SHFJAE	Опытный добытчик: Джунгли	Опытные добытчики: Джунгли	
_2A2A2FB3985EE8D9	SHFJAEM	Мастер добытчик: Джунгли	Мастера добытчики: Джунгли	
_1AD7982D8D996475	SHFL	Добытчик: Озера	Добытчики: Озера	
_FAF5BBC2525D3127	SHFLA	Продвинутый добытчик: Озера	Продвинутые добытчики: Озера	
_C973D10EA27302E5	SHFLAE	Опытный добытчик: Озера	Опытные добытчики: Озера	
_BB11B61895D0B534	SHFLAEM	Мастер добытчик: Озера	Мастера добытчики: Озера	
_2A44FD62F20871D7	SHFP	Добытчик: Изначальные Корни	Добытчики: Изначальные Корни	
_6FEB58CC68A3038F	SHFPA	Продвинутый добытчик: Изначальные Корни	Продвинутые добытчики: Изначальные Корни	
_035B83115B7A3738	SHFPAE	Опытный добытчик: Изначальные Корни	Опытные добытчики: Изначальные Корни	
_F79E37D8A4C77E67	SHFPAEM	Мастер добытчик: Изначальные Корни	Мастера добытчики: Изначальные Корни	
_BA3DD7D26A7885B0	SMTOECA	Улучшенная магия холода	Нанесение улучшенного урона выбранной цели - холод	Нанесение улучшенного урона выбранной цели - холод
_AFEDA7D06A484DAB	SMTOEAA	Улучшенная магия кислот	Нанесение улучшенного урона выбранной цели - кислота	Нанесение улучшенного урона выбранной цели - кислота
_01CD9DBDADC47BC9	SMTOERA	Улучшенная магия гниения	Нанесение улучшенного урона выбранной цели - гниение	Нанесение улучшенного урона выбранной цели - гниение
_71CEBFD5AAD97DB9	SMTOEFA	Улучшенная магия огня	Нанесение улучшенного урона выбранной цели - огонь	Нанесение улучшенного урона выбранной цели - огонь
_318D06154CC1104A	SMTOESA	Улучшенная магия ударных волн	Нанесение улучшенного урона выбранной цели - ударная волна	Нанесение улучшенного урона выбранной цели - ударная волна
_73261D03FCFBFD13	SMTOEPA	Улучшенная магия отравы	Нанесение улучшенного урона выбранной цели - яд	Нанесение улучшенного урона выбранной цели - яд
_E6D785444091E28C	SMTOEEA	Улучшенная магия электричества	Нанесение улучшенного урона выбранной цели - электрошок	Нанесение улучшенного урона выбранной цели - электрошок
_D7E6E2B1D5A97148	SMTCHPA	Улучшенная магия исцеления	Улучшенное исцеление выбранной цели	Улучшенное исцеление выбранной цели
_0918DB0BE0F94381	SMTCHTA	Улучшенная магия восстановления выносливости	Улучшенное восстановление выносливости выбранной цели	Улучшенное восстановление выносливости выбранной цели
_F3EB3786D6F24AAC	SMTCHAA	Улучшенная магия восстановления сэп	Улучшенное восстановление сэп выбранной цели	Улучшенное восстановление сэп выбранной цели
_E9A9A59BE96CEC2F	SMTCHCA	Улучшенная магия восстановления внимания	Улучшенное восстановление внимания выбранной цели	Улучшенное восстановление внимания выбранной цели
_5E798E3F74FE345E	SMLOSMA	Улучшенный контакт заклятия безумия	Улучшенный контакт заклятия ослабления - Безумие	Улучшенный контакт заклятия ослабления - Безумие
_26EEA5D39E743F06	SMLOSSA	Улучшенный контакт заклятия замедления	Улучшенный контакт заклятия ослабления - Замедление	Улучшенный контакт заклятия ослабления - Замедление
_5172DB6301F6E8D5	SMLOCIA	Улучшенный контакт заклятия бессилия	Улучшенный контакт проклинающего заклятия - Бессилие	Улучшенный контакт проклинающего заклятия - Бессилие
_9163A3774C6560F0	SMLOCSA	Улучшенный контакт заклятия невезения	Улучшенный контакт проклинающего заклятия - Невезение	Улучшенный контакт проклинающего заклятия - Невезение
_6AD31D5BA8BF214B	SMLOECA	Улучшенный контакт заклятия холода	Улучшенный контакт заклятия магии стихий: холод	Улучшенный контакт заклятия магии стихий: холод
_EAA3ED59E7FF053F	SMLOEAA	Улучшенный контакт заклятия кислот	Улучшенный контакт заклятия магии стихий: кислота	Улучшенный контакт заклятия магии стихий: кислота
_A7C460984F98020C	SMLOERA	Улучшенный контакт заклятия гниения	Улучшенный контакт заклятия магии стихий: гниение	Улучшенный контакт заклятия магии стихий: гниение
_6B34055F296F5145	SMLOEFA	Улучшенный контакт заклятия огня	Улучшенный контакт заклятия магии стихий: огонь	Улучшенный контакт заклятия магии стихий: огонь
_D4F777BB9FE1FFC6	SMLOESA	Улучшенный контакт заклятия ударной волны	Улучшенный контакт заклятия магии стихий: ударная волна	Улучшенный контакт заклятия магии стихий: ударная волна
_663E8A6237DAFF8F	SMLOEPA	Улучшенный контакт заклятия отравы	Улучшенный контакт заклятия магии стихий: отрава	Улучшенный контакт заклятия магии стихий: отрава
_F03F1412EF9651DB	SMLOEEA	Улучшенный контакт заклятия электричества	Улучшенный контакт заклятия магии стихий: электричество	Улучшенный контакт заклятия магии стихий: электричество
_6E57968BCB587F8E	SMD	Магия защиты	Магия защиты	Магия защиты
_E4EAEA05C036B3CB	SMDA	Базовая магия проклятий	Базовая магия проклятий	Базовая магия проклятий
_8BE8FBCCF2B753CD	SMDAA	Улучшенная магия проклятий	Улучшенная магия проклятий	Улучшенная магия проклятий
_EF9774F6512DD4CE	SMDAAE	Продвинутая магия проклятий	Продвинутая магия проклятий	Продвинутая магия проклятий
_ED65F0BA7B50E721	SMDAAEM	Превосходная магия проклятий	Превосходная магия проклятий	Превосходная магия проклятий
_397B66BC32CD0D7C	SMDH	Базовая магия исцеления	Базовая магия исцеления	Базовая магия исцеления
_35B7302DA7A9A4E6	SMDHA	Улучшенная магия исцеления	Улучшенная магия исцеления	Улучшенная магия исцеления
_ED96DA1DA02EF778	SMDHAE	Продвинутая магия исцеления	Продвинутая магия исцеления	Продвинутая магия исцеления
_E4A67EED911AA10F	SMDHAEM	Превосходная магия исцеления	Превосходная магия исцеления	Превосходная магия исцеления
_27450790EC3DF79C	SMO	Боевая магия	Боевая магия	Боевая магия
_E49AEA05C036BFEC	SMOA	Магия ослабления	Магия ослабления	Магия ослабления
_8B9803E2326753CD	SMOAA	Улучшенная магия ослабления	Улучшенная магия ослабления	Улучшенная магия ослабления
_B14774F6514D2CCF	SMOAAE	Продвинутая магия ослабления	Продвинутая магия ослабления	Продвинутая магия ослабления
_AF15F0BABB101322	SMOAAEM	Превосходная магия ослабления	Превосходная магия ослабления	Превосходная магия ослабления
_AEBEAF4BCABFFB1C	SMOE	Магия стихий	Магия стихий	Магия стихий
_8C6B9F1DA778E81E	SMOEA	Улучшенная магия стихий	Улучшенная магия стихий	Улучшенная магия стихий
_FC649D9073CA8292	SMOEAE	Продвинутая магия стихий	Продвинутая магия стихий	Продвинутая магия стихий
_32E3FD659EAB950B	SMOEAEM	Превосходная магия стихий	Превосходная магия стихий	Превосходная магия стихий
_B93945D8AB4CE8F7	SMS	Магия воздействия на себя	Магия воздействия на себя	Магия воздействия на себя
_83F4433CC9AD94E4	SMSS	Базовая магия воздействия на себя	Базовая магия воздействия на себя	Базовая магия воздействия на себя
_779EFD45D0FE3F50	SMSSA	Улучшенная магия воздействия на себя	Улучшенная магия воздействия на себя	Улучшенная магия воздействия на себя
_319B0363794BC094	SMSSAE	Продвинутая магия воздействия на себя	Продвинутая магия воздействия на себя	Продвинутая магия воздействия на себя
_2C19F048303A87DB	SMSSAEM	Превосходная магия воздействия на себя	Превосходная магия воздействия на себя	Превосходная магия воздействия на себя
_DC262CA3A8C7EC7E	SF	Бой	Бой	
_9FB46C869809E4AD	SFM	Ближний бой	Ближний бой	
_529007CD20C0A474	SFM1	Ближний бой одноручным оружием	Ближний бой одноручным оружием	
_13BDE7BA6940A996	SFM1B	Ближний бой одноручным дробящим оружием	Ближний бой одноручным дробящим оружием	
_D94507669A13E45F	SFM1BM	Палица	Палицы	
_73DA5D3CEA2FF9DB	SFM1BME	Электрическая палица	Электрические палицы	
_78CE19EFDB927FA1	SFM1BMM	Мастер палицы	Мастера палицы	
_8974507B67460C6B	SFM1BS	Посох	Посохи	
_322EE5D7E0EA8F0E	SFM1BSM	Мастер посоха	Мастера посоха	
_D1ADF7B1698099A1	SFM1P	Ближний бой одноручным колющим оружием	Ближний бой одноручным колющим оружием	
_8CE54C7B65460C87	SFM1PS	Копье	Копья	
_093C6256AECD9909	SFM1PSE	Электрическое копье	Электрические копья	
_B64ED5EF5EDA8F06	SFM1PSL	Живое копье	Живые копья	
_32B0BDDFDEEA8F1C	SFM1PSM	Мастер копья	Мастера копья	
_13BDE7B96940A5A7	SFM1S	Ближний бой одноручным рубящим оружием	Ближний бой одноручным рубящим оружием	
_D315B84E2AA27C98	SFM1SA	Топор	Топоры	
_78ADFD175B5EB7F5	SFM1SAB	Горящий топор	Горящие топоры	
_C7DFA10129549B6B	SFM1SAM	Мастер топора	Мастера топора	
_0915B88CE7460C8D	SFM1SS	Меч	Мечи	
_32EE45F360EA8F1F	SFM1SSM	Мастер меча	Мастера меча	
_B68C5DF3648B8F09	SFM1SSW	Извилистый меч	Извилистые мечи	
_929007CD20C0A476	SFM2	Ближний бой двуручным оружием	Ближний бой двуручным оружием	
_53BDE7BB6940AD96	SFM2B	Ближний бой двуручным дробящим оружием	Ближний бой двуручным дробящим оружием	
_F15CD1694847CDF2	SFM2BM	Двуручная палица	Двуручные палицы	
_5704967E575AEBA6	SFM2BME	Двуручная электрическая палица	Двуручные электрические палицы	
_301A7FEFCE1033BC	SFM2BMM	Мастер двуручной палицы	Мастера двуручной палицы	
_11ADF7B269809DA1	SFM2P	Ближний бой двуручным колющим оружием	Ближний бой двуручным колющим оружием	
