*HASH_VALUE	skill ID	name	ia	da	p	pia	pda	description
_385BA61012115FF6	TrainingStamina3	Entraînement de l'endurance 3	un	l'\d	Entraînements de l'endurance 3	des	les	
_385BAA1094115FF6	TrainingStamina4	Entraînement de l'endurance 4	un	l'\d	Entraînements de l'endurance 4	des	les	
_375D18C67B1C12EF	TrainingStrength	Entraînement de la force	un	l'\d	Entraînements de la force	des	les	
_70179D0A46ED4EB1	TrainingTechnoResist	Entraînement de résistance aux technologies	un	l'\d	Entraînements de résistance aux technologies	des	les	
_1E629490CAB05722	TrainingWellBalanced	Entraînement du bon équilibre	un	l'\d	Entraînements du bon équilibre	des	les	
_20D6025A002E3116	TrainingWill	Entraînement de la volonté	un	l'\d	Entraînements de la volonté	des	les	
_ECC9D489AE5810A4	Tryker	Tryker	un	le	Trykers	des	les	
_402F501624D55420	TrykerGoods	Biens trykers			Biens trykers	des	les	
_CBB743E46993B57A	TrykerMystery	Mystère tryker	un	le	Mystères trykers	des	les	
_248432101928BBBE	TwoHandedCombat	Combat à deux mains	un	le	Combats à deux mains	des	les	
_E2FC6B5410562272	TwoHandsSword	Épée à deux mains	une	l'\d	Épées à deux mains	des	les	
_B76D4C20B7AD6450	UnderwaterExtract	Extraction sous-marine	une	l'\d	Extractions sous-marines	des	les	
_B87B8EF095D9B2F0	VisualWithering	Affaiblissement de la vue	un	l'\d	Affaiblissements de la vue	des	les	
_C8A06DE5A7EC9528	VitalBurst	Explosion vitale	une		Explosions vitales	des	les	
_E81EF286B90381FD	WarriorGift	Don guerrier	un	le	Dons guerriers	des	les	
_7A1C339955F3BD9B	WeaponsCutting	Coupe des armes	une	la	Coupes des armes	des	les	
_2E3045112716B3BF	WindArmor	Armure des vents	une	l'\d	Armures des vents	des	les	
_A687E4EE6EC9F032	WindGift	Don de vent	un	le	Dons de vents	des	les	
_2E300D099F3763E3	WindShear	Puissance du vent	une	la	Puissances du vent	des	les	
_AB51CA9C65185C9F	Zorai	Zoraï	un	le	Zoraïs	des	les	
_1D1AA7DA5B30C8BD	ZoraiGoods	Biens zoraïs			Biens zoraïs	des	les	
_5DC1BB09C5A79A88	ZoraiMystery	Mystère zoraï	un	le	Mystères zoraïs	des	les	
_38BF105E6F762063	TrainingImpactResist2	Entraînement de résistance aux impacts 2	un	l'\d	Entraînements de résistance aux impacts 2	des	les	
_38BF145E6F762065	TrainingImpactResist3	Entraînement de résistance Impacts 3	un	l'\d	Entraînements de résistance aux impacts 3	des	les	
_172111EF5712135D	TrainingMagicResist2	Entraînement de résistance Impacts 2	un	l'\d	Entraînements de résistance aux impacts 2	des	les	
_573111EF5722135D	TrainingMagicResist3	Entraînement de résistance Impacts 3	un	l	Entraînements de résistance aux impacts 3	des	les	
_9E1F915ACB35C52D	MakeEnchantedWeapons	Fabrication d'armes enchantées	une	la	Fabrications d'armes enchantées	des	les	
_9572881FC4B3A0FF	MakeEnchantedArmors	Fabrication d'armures enchantées	une	la	Fabrications d'armures enchantées	des	les	
_5E4664F242913805	MakeVampiricWeapons	Fabrication d'armes vampiriques	une	la	Fabrications d'armes vampiriques	des	les	
_F08B51C1E52ECB1C	MakeEnchantedFloralPatternLivingClothes	Fabrication de vêtements floraux vivants	une	la	Fabrication de vêtements floraux vivants	des	les	
_E1010856D5D5F588	MakeDeadlyHarpoongun	Fabrication d'un pistolet-harpon mortel	une	la	Fabrications de pistolets-harpons mortels	des	les	
_49D2F4340178168F	MakeHuntingArmors	Fabrication d'armure de chasse	une	la	Fabrications d'armures de chasse	des	les	
_C31F80337ECA6372	MakeRitualClothes	Fabrication de vêtements rituels	une	la	Fabrications de vêtements rituels	des	les	
_1DE8C3273B0B137B	MakeRitualJewels	Fabrication de bijoux rituels	une	la	Fabrications de bijoux rituels	des	les	
_D8145C8EEA5A3CA6	SC	Artisanat		l'\d	Artisanat	des	les	Artisanat
_5654AC8E60988490	SM	Magie	une	la	Magie	des	les	Magie
_4A528987D8F5BA5B	SMT	Magie d'impact	une	la	Magies d'impacts	des	les	Magie Ciblée
_29D259A451019CA9	SMTM	Magie de missile	une	la	Magies de missiles	des	les	Magie de Missile Ciblée
_5C0F8F5DAF790C9D	SMTMR	Magie fondamentale	une	la	Magies fondamentales	des	les	Magie de Missile Ciblée - Fondamentale
_0AD18AB0336B9683	SMTMG	Magie atysienne	une	la	Magies atysiennes	des	les	Magie de Missile Ciblée - Atysienne
_D597B4747E2BAA66	SMTMB	Magie céleste	une	la	Magies célestes	des	les	Magie de Missile Ciblée - Céleste
_9F35DAC8D1B39346	SMTO	Magie offensive	une	la	Magies offensives	des	les	Magie Offensive Ciblée
_CB82E2397BAB1530	SMTOD	Magie physique	une	la	Magies physiques	des	les	Magie Offensive Ciblée sur les Dégâts
_D9108D1AEB774F37	SMTODP	Magie perforante	une	la	Magies perforantes	des	les	Magie Offensive Ciblée sur les Dégâts - Perforante
_1CA0811AACF71B33	SMTODB	Magie contondante	une	la	Magies contondantes	des	les	Magie Offensive Ciblée sur les Dégâts - Contondant
_DCA081196CF75F33	SMTODS	Magie tranchante	une	la	Magies tranchantes	des	les	Magie Offensive Ciblée sur les Dégâts - Tranchante
_4D659DBE6F770808	SMTOE	Magie élémentaire	une	la	Magies élémentaires	des	les	Magie Offensive Ciblée sur les Dégâts Spéciaux
_B35ED2172BAE8E5E	SMTOEC	Magie du froid	une	la	Magies du froid	des	les	Magie Offensive Ciblée sur les Dégâts Spéciaux - Froid
_B35EC605A56E865E	SMTOEA	Magie de l'acide	une	la	Magies de l'acide	des	les	Magie Offensive Ciblée sur les Dégâts Spéciaux - Acide
_F117FF29E7251AB6	SMTOER	Magie de la pourriture	une	la	Magies de la pourriture	des	les	Magie Offensive Ciblée sur les Dégâts Spéciaux - Pourriture
_B36EF21DEA0E9A5E	SMTOEF	Magie du feu	une	la	Magies du feu	des	les	Magie Offensive Ciblée sur les Dégâts Spéciaux - Feu
_4EBA8627BCE9FB22	SMTOES	Magie des ondes de choc	une	la	Magies des ondes de choc	des	les	Magie Offensive Ciblée sur les Dégâts Spéciaux - Ondes de choc
_3067100BD3BAF278	SMTOEP	Magie du poison	une	la	Magies du poison	des	les	Magie Offensive Ciblée sur les Dégâts Spéciaux - Poison
_D21C1B9D62E4E80B	SMTOEE	Magie électrique	une	la	Magies électriques	des	les	Magie Offensive Ciblée sur les Dégâts Spéciaux - Electricité
_98C6999187B4ECD5	SMTC	Magie curative	une	la	Magies curatives	des	les	Magie Curative Ciblée
_1C592673394B71F2	SMTCH	Magie de guérison	une	la	Magies de guérison	des	les	Magie Curative Ciblée sur la Guérison
_4DB24B824181B32C	SMTCHP	Magie de guérison de la vie	une	la	Magies de guérison de la vie	des	les	Magie Curative Ciblée sur la Guérison - Vie
_AB6C41A608125261	SMTCHT	Magie de guérison de l'endurance	une	la	Magies de guérison de l'endurance	des	les	Magie Curative Ciblée sur la Guérison - Sta
_E66C7DA243120670	SMTCHA	Magie de guérison de la sève	une	la	Magies de guérison de la sève	des	les	Magie Curative Ciblée sur la Guérison - Sève
_9AE1FE031A7EE557	SMTCHC	Magie de guérison de la concentration	une	la	Magies de guérison de la concentration	des	les	Magie Curative Ciblée sur la Guérison - Concentration
_46B77B460102495E	SMTCB	Rupture de lien	une	la	Ruptures de liens	des	les	Magie Curative Ciblée sur la Rupture de Lien
_462522C946AAA84C	SMTCBD	Dégât de rupture de lien	un	le	Dégâts de ruptures de liens	des	les	Magie Curative Ciblée sur la Rupture de Lien - Dégâts
_BAED0EEFDA4CAF03	SMTCBS	Maladie de rupture de lien	une	la	Maladies de ruptures de liens	des	les	Magie Curative Ciblée sur la Rupture de Lien - Maladie
_7DF1A856845BD4A4	SMTCBC	Malédiction de rupture de lien	une	la	Malédictions de ruptures de liens	des	les	Magie Curative Ciblée sur la Rupture de Lien - Malédiction
_EC5CF9A83799E909	SML	Lien de magie	un	le	Liens de magies	des	les	Lien de Magie
_49BDA32074154396	SMLM	Lien de missile	un	le	Liens de missiles	des	les	Lien de Magie relatif aux Missiles
_A5889DC6411B4045	SMLMR	Lien fondamental	un	le	Liens fondamentaux	des	les	Lien de Magie relatif aux Missiles - Fondamental
_7F38346ED5250EB1	SMLMG	Lien atysien	un	le	Liens atysiens	des	les	Lien de Magie relatif aux Missiles - Atysien
_F154BD51B879CEA6	SMLMB	Lien céleste	un	le	Liens célestes	des	les	Lien de Magie relatif aux Missiles - Céleste
_BCBB4C69BD7DC709	SMLO	Lien offensif	un	le	Liens offensifs	des	les	Lien de Magie Offensive
_DBDAA3F080A8CDEA	SMLOS	Lien de maladie	un	le	Liens de maladies	des	les	Lien de Magie Offensive relatif aux Maladies
_2AD6ADF15F54B9A9	SMLOSM	Lien de folie	un	le	Liens de folie	des	les	Lien de Magie Offensive relatif aux Maladies - folie
_9E70C9DEE9FF46B5	SMLOSS	Lien de diminution de la vitesse	un	le	Liens de diminution de la vitesse	des	les	Lien de Magie Offensive relatif aux Maladies - diminution de la vitesse
_7E7703067DE75B7F	SMLOSR	Lien de diminution de la résistance	un	le	Liens de diminution de la résistance	des	les	Lien de Magie Offensive relatif aux Maladies - diminution de la résistance
_5CF0E5E2A9EF52B4	SMLOSK	Lien de diminution des compétences	un	le	Liens de diminution des compétences	des	les	Lien de Magie Offensive relatif aux Maladies - diminution des compétences
_1A9E72A457E6332F	SMLOC	Lien de malédiction	un	le	Liens de malédictions	des	les	Lien de Magie Offensive relatif aux Malédictions
_A24F5221B08315C8	SMLOCI	Lien d'Incapacité	un	le	Liens d'incapacité	des	les	Lien de Magie Offensive relatif aux Malédictions - incapacité
_7AB2ED7B34EF2467	SMLOCM	Lien de perturbation mentale	un	le	Liens de perturbation mentale	des	les	Lien de Magie Offensive relatif aux Malédictions - perturbation mentale
_6B2E163F2752E1E9	SMLOCS	Lien de malchance	un	le	Liens de malchance	des	les	Lien de Magie Offensive relatif aux Malédictions - malchance
_69C1EA4113DCAA84	SMLOCH	Lien de haine	un	le	Liens de haine	des	les	Lien de Magie Offensive relatif aux Malédictions - haine
_A366797FAB86DDB9	SMLOD	Lien physique	un	le	Liens physiques	des	les	Lien de Magie Offensive relatif aux Dégâts
_D4930C23EB04A3FB	SMLODP	Lien perforant	un	le	Liens perforants	des	les	Lien de Magie Offensive relatif aux Dégâts - Perforant
_D433281CECA477FB	SMLODB	Lien contondant	un	le	Liens contondants	des	les	Lien de magie offensive relatif aux dégâts - contondant
_D433281C6C94BBFB	SMLODS	Lien tranchant	un	le	Liens tranchants	des	les	Lien de Magie Offensive relatif aux Dégâts - Tranchant
_CB32B9D795344045	SMLOE	Lien élémentaire	un	le	Liens élémentaires	des	les	Lien de Magie Offensive relatif aux Dégâts Spéciaux
_AC052ACEDC879E4D	SMLOEC	Lien du froid	un	le	Liens du froid	des	les	Lien de Magie Offensive relatif aux Dégâts Spéciaux - Froid
_EB4522C8D647964D	SMLOEA	Lien d'acide	un	le	Liens d'acide	des	les	Lien de Magie Offensive relatif aux Dégâts Spéciaux - Acide
_A77ED7C6453198F2	SMLOER	Lien de pourriture	un	le	Liens de pourriture	des	les	Lien de Magie Offensive relatif aux Dégâts Spéciaux - Pourriture
_2DA53EDADAE7AA4E	SMLOEF	Lien de feu	un	le	Liens de feu	des	les	Lien de Magie Offensive relatif aux Dégâts Spéciaux - Feu
_A794EB51965BCCCC	SMLOES	Lien d'ondes de choc	un	le	Liens d'ondes de choc	des	les	Lien de Magie Offensive relatif aux Dégâts Spéciaux - Ondes de choc
_59AA2974CC81CA3D	SMLOEP	Lien de poison	un	le	Liens de poison	des	les	Lien de Magie Offensive relatif aux Dégâts Spéciaux - Poison
_3A2202E09E2FB961	SMLOEE	Lien électrique	un	le	Liens électriques	des	les	Lien de Magie Offensive relatif aux Dégâts Spéciaux - Electricité
_F6CE98E462BC4BE7	SMLC	Lien curatif	un	le	Liens curatifs	des	les	Lien de Magie Curative
_C03EED1A18979456	SMLCH	Lien de guérison	un	le	Liens de guérison	des	les	Lien de Magie Curative relatif aux Guérisons
_47BAADEFB7F6F367	SMLCHP	Lien de guérison de la vie	un	le	Liens de guérison de la vie	des	les	Lien de Magie Curative relatif aux Guérisons - Vie
_ED574D3D8E3C6092	SMLCHT	Lien de guérison de l'endurance	un	le	Liens de guérison de l'endurance	des	les	Lien de Magie Curative relatif aux Guérisons - Sta
_ED574D5BC80B1492	SMLCHA	Lien de guérison de la sève	un	le	Liens de guérison de la sève	des	les	Lien de Magie Curative relatif aux Guérisons - Sève
_D170317EE36037EE	SMLCHC	Lien de guérison de la concentration	un	le	Liens de guérison de la concentration	des	les	Lien de Magie Curative relatif aux Guérisons - Concentration
_6BE71C3763BA2EC0	SMA	Magie autonome	une	la	Magies autonomes	des	les	Magie Autonome
_038C64191738E825	SMAE	Magie d'enchantement	une	la	Magies d'enchantements	des	les	Magie d'Enchantement
_11B74D99C76C41BB	SMAES	Enchantement de sorts	un	l'\d	Magies d'enchantements - Sorts	des	les	Magie d'Enchantement - Sort
_D0178DABC8BB21B3	SMAEB	Enchantement de bonus	un	l'\d	Magies d'enchantements - Bonus	des	les	Magie d'Enchantement - Bonus
_167E8049BBAE1327	SMAP	Magie de création de potions	une	la	Magies de création de potions	des	les	Magie de Fabrication de Potions
_6718E88297C7DCB2	SD	Auto-défense	une	l'\d	Auto-défenses	des	les	Auto-Défense
_47FC9798E127AA6B	SDA	Porter armure			Porter armure			Porter armure
_DF240440B31A8CFA	SDAL	Porter armure légère			Porter armure légère			Porter armure légère
_2579E5B65A42F5E0	SDALF	Porter armure légère fyros			Porter armure légère fyros			Porter armure légère fyros
_3A4A70B02FCE757E	SDALFA	Expert en port d'armure légère fyros	un	l'\d	Experts en port d'armure légère fyros	des	les	Expert en port d'armure légère fyros
_092D87890ABD27A8	SDALFAE	Maître en port d'armure légère fyros	un	le	Maîtres en port d'armure légère fyros	des	les	Maître en port d'armure légère fyros
_600985BD5AE2E5D1	SDALM	Porter armure légère matis			Porter armure légère matis			Porter armure légère matis
_3A4A58A62B3CAD85	SDALMA	Expert en port d'armure légère matis	un	l'\d	Experts en port d'armure légère matis	des	les	Expert en port d'armure légère matis
_4A4D2790897DCF9E	SDALMAE	Maître en port d'armure légère matis	un	le	Maîtres en port d'armure légère matis	des	les	Maître en port d'armure légère matis
_1356288C143BE4EB	SDALT	Porter armure légère tryker			Porter armure légère tryker			Porter armure légère tryker
_BA6BD0D36826EDDC	SDALTA	Expert en port d'armure légère tryker	un	l'\d	Experts en port d'armure légère tryker	des	les	Expert en port d'armure légère tryker
_6BDFC5F35AA8E5CB	SDALTAE	Maître en port d'armure légère tryker	un	le	Maîtres en port d'armure légère tryker	des	les	Maître en port d'armure légère tryker
_24BABDCA7929BD66	SDALZ	Porter armure légère zoraï			Porter armure légère zoraï			Porter armure légère zoraï
_3A111C94ACCD1592	SDALZA	Expert en port d'armure légère zoraï	un	l'\d	Experts en port d'armure légère zoraï	des	les	Expert en port d'armure légère zoraï
_8B2D5F19A6DDFF42	SDALZAE	Maître en port d'armure légère zoraï	un	le	Maîtres en port d'armure légère zoraï	des	les	Maître en port d'armure légère zoraï
_C61C242303F92188	SDAM	Porter armure moyenne			Porter armure moyenne			Porter armure moyenne
_1A130B6E81DBBC22	SDAMF	Porter armure moyenne fyros			Porter armure moyenne fyros			Porter armure moyenne fyros
_F684003775869139	SDAMFA	Expert en port d'armure moyenne fyros	un	l'\d	Experts en port d'armure moyenne fyros	des	les	Expert en port d'armure moyenne fyros
_3874F6C7BF6AF50E	SDAMFAE	Maître en port d'armure moyenne fyros	un	le	Maîtres en port d'armure moyenne fyros	des	les	Maître en port d'armure moyenne fyros
_DC130B6E7FBB041F	SDAMM	Porter armure moyenne matis			Porter armure moyenne matis			Porter armure moyenne matis
_F4C428476FF69140	SDAMMA	Expert en port d'armure moyenne matis	un	l'\d	Experts en port d'armure moyenne matis	des	les	Expert en port d'armure moyenne matis
_FA74F6BBC10835FD	SDAMMAE	Maître en port d'armure moyenne matis	un	le	Maîtres en port d'armure moyenne matis	des	les	Maître en port d'armure moyenne matis
_6C1ADF5A0499E469	SDAMT	Porter armure moyenne tryker			Porter armure moyenne tryker			Porter armure moyenne tryker
_83F88DBB25238239	SDAMTA	Expert en port d'armure moyenne tryker	un	l'\d	Experts en port d'armure moyenne tryker	des	les	Expert en port d'armure moyenne tryker
_BB346CA339E33BB8	SDAMTAE	Maître en port d'armure moyenne tryker	un	le	Maîtres en port d'armure moyenne tryker	des	les	Maître en port d'armure moyenne tryker
_1F130B669AFB6C54	SDAMZ	Porter armure moyenne zoraï			Porter armure moyenne zoraï			Porter armure moyenne zoraï
_F04B785FF2C79145	SDAMZA	Expert en port d'armure moyenne zoraï	un	l'\d	Experts en port d'armure moyenne zoraï	des	les	Expert en port d'armure moyenne zoraï
_3D74DAABDE489518	SDAMZAE	Maître en port d'armure moyenne zoraï	un	le	Maîtres en port d'armure moyenne zoraï	des	les	Maître en port d'armure moyenne zoraï
_65CEFF6A2003977E	SDAH	Porter armure lourde			Porter armure lourde			Porter armure lourde
_C479F639145D6001	SDAHF	Porter armure lourde fyros			Porter armure lourde fyros			Porter armure lourde fyros
_3EAC30A425CE7583	SDAHFA	Expert en port d'armure lourde fyros	un	l'\d	Experts en port d'armure lourde fyros	des	les	Expert en port d'armure lourde fyros
_073BD391888D4FA2	SDAHFAE	Maître en port d'armure lourde fyros	un	le	Maîtres en port d'armure lourde fyros	des	les	Maître en port d'armure lourde fyros
_C9F81239149D70D2	SDAHM	Porter armure lourde matis			Porter armure lourde matis			Porter armure lourde matis
_3EAC189A213CAD8A	SDAHMA	Expert en port d'armure lourde matis	un	l'\d	Experts en port d'armure lourde matis	des	les	Expert en port d'armure lourde matis
_485B7398074DF798	SDAHMAE	Maître en port d'armure lourde matis	un	le	Maîtres en port d'armure lourde matis	des	les	Maître en port d'armure lourde matis
_B6A20C403649A4AE	SDAHT	Porter armure lourde tryker			Porter armure lourde tryker			Porter armure lourde tryker
_F8CC18CF672615F8	SDAHTA	Expert en port d'armure lourde tryker	un	l'\d	Experts en port d'armure lourde tryker	des	les	Expert en port d'armure lourde tryker
_6A7F35ECDBC8D5A7	SDAHTAE	Maître en port d'armure lourde tryker	un	le	Maîtres en port d'armure lourde tryker	des	les	Maître en port d'armure lourde tryker
_CED84639529D52F3	SDAHZ	Porter armure lourde zoraï			Porter armure lourde zoraï			Porter armure lourde zoraï
_3E73DC88A2CD1597	SDAHZA	Expert en port d'armure lourde zoraï	un	l'\d	Experts en port d'armure lourde zoraï	des	les	Expert en port d'armure lourde zoraï
_893BAB2124AD273C	SDAHZAE	Maître en port d'armure lourde zoraï	un	le	Maîtres en port d'armure lourde zoraï	des	les	Maître en port d'armure lourde zoraï
_DE59E2BD5DB342FF	SDS	Manier un bouclier			Manier des boucliers			Manier Boucliers
_665F9EF3CB6AFB1B	SDSB	Manier une rondache			Manier ondache			Manier rondache
_D6918DC8D2A2E5CE	SDSBF	Manier rondache fyros			Manier rondache fyros			Manier rondache fyros
_C86A36DA0E32349A	SDSBFA	Expert en maniement de rondache fyros	un	l'\d	Experts en maniement de rondache fyros	des	les	Expert en maniement de rondache fyros
_A4548401996016AB	SDSBFAE	Maître en maniement de rondache fyros	un	le	Maîtres en maniement de rondache fyros	des	les	Maître en maniement de rondache fyros
_D63031D1CC12E5CF	SDSBM	Manier rondache matis			Manier rondache matis			Manier rondache matis
_478ABEE387C2D4A8	SDSBMA	Expert en maniement de rondache matis	un	l'\d	Experts en maniement de rondache matis	des	les	Expert en maniement de rondache matis
_A6F2C4E95B6016A6	SDSBMAE	Maître en maniement de rondache matis	un	le	Maîtres en maniement de rondache matis	des	les	Maître en maniement de rondache matis
_51FB4C92F22370C2	SDSBT	Manier rondache tryker			Manier rondache tryker			Manier rondache tryker
_F5FC35CF01993F77	SDSBTA	Expert en maniement de rondache tryker	un	l'\d	Experts en maniement de rondache tryker	des	les	Expert en maniement de rondache tryker
_CB8B716BE2BDD2E5	SDSBTAE	Maître en maniement de rondache tryker	un	le	Maîtres en maniement de rondache tryker	des	les	Maître en maniement de rondache tryker
_53B77DDC4FE3D750	SDSBZ	Manier rondache zoraï			Manier rondache zoraï			Manier rondache zoraï
_4531D66A08730C3E	SDSBZA	Expert en maniement de rondache zoraï	un	l'\d	Experts en maniement de rondache zoraï	des	les	Expert en maniement de rondache zoraï
_C33224F79E60FAA3	SDSBZAE	Maître en maniement de rondache zoraï	un	le	Maîtres en maniement de rondache zoraï	des	les	Maître en maniement de rondache zoraï
_5FD3FF521B70122A	SDSS	Manier grand bouclier			Manier grands bouclier			Manier grands Bouclier
_258E3057B65FB8DE	SDSSF	Manier grand bouclier fyros			Manier grands bouclier fyros			Manier grands Bouclier fyros
_9F6C03EC2EAA8BE4	SDSSFA	Expert en maniement de grand bouclier fyros	un	l'\d	Experts en maniement de grands bouclier fyros	des	les	Expert en maniement de grands Bouclier fyros
_1D4FFD6D6A2C3E8D	SDSSFAE	Maître en maniement de grand bouclier fyros	un	le	Maîtres en maniement de grands bouclier fyros	des	les	Maître en maniement de grands Bouclier fyros
_601ED05EB6FFA8CF	SDSSM	Manier grand bouclier matis			Manier grands bouclier matis			Manier grands Bouclier matis
_9F6CEBE22A18C3EB	SDSSMA	Expert en maniement de grand bouclier matis	un	l'\d	Experts en maniement de grands bouclier matis	des	les	Expert en maniement de grands Bouclier matis
_5E6F9D74E9ECE683	SDSSMAE	Maître en maniement de grand bouclier matis	un	le	Maîtres en maniement de grands bouclier matis	des	les	Maître en maniement de grands Bouclier matis
_51DBC6685ABE9FD1	SDSST	Manier grand bouclier tryker			Manier grands bouclier tryker			Manier grands Bouclier tryker
_2F803FE71B4DC937	SDSSTA	Expert en maniement de grand bouclier tryker	un	l'\d	Experts en maniement de grands bouclier tryker	des	les	Expert en maniement de grands Bouclier tryker
_CF74B5C12A6BB8B9	SDSSTAE	Maître en maniement de grand bouclier tryker	un	le	Maîtres en maniement de grands bouclier tryker	des	les	Maître en maniement de grands Bouclier tryker
_24CF086BD5468064	SDSSZ	Manier grand bouclier zoraï			Manier grands bouclier zoraï			Manier grands Bouclier zoraï
_9F33AFD0ABA92BF8	SDSSZA	Expert en maniement de grand bouclier zoraï	un	l'\d	Experts en maniement de grands bouclier zoraï	des	les	Expert en maniement de grands Bouclier zoraï
_9F4FD5FD064C1627	SDSSZAE	Maître en maniement de grand bouclier zoraï	un	le	Maîtres en maniement de grands bouclier zoraï	des	les	Maître en maniement de grands Bouclier zoraï
_E4FEE2CD5824CE04	SDD	Esquive	une	l'\d	Esquives	des	les	Esquive
_B2FD6E00FC67D675	SDDA	Esquive rapide	une	l'\d	Esquives rapides	des	les	Esquive Rapide
_0FC86202AE2E2D7F	SDDAT	Esquive instinctive	une	l'\d	Esquives Instinctives	des	les	Esquive Instinctive
_2ABBBA0B2EA265E1	SDDATM	Expert en esquive	une	l'\d	Experts en esquive	des	les	Expert en Esquive
_56D22F619ED6AB31	SDDATME	Maître en esquive	une	l'\d	Maîtres en esquive	des	les	Maître en Esquive
_97F03668731C6899	uknown	Compétence inconnue			Compétences inconnues			Compétence Inconnue
_CDE48A297AAB6A68	Unknown	Compétence inconnue			Compétences inconnues			Compétence Inconnue
_E869049E9CF76CBE	SH	Extraire les matières premières			Extraire les matières premières			Extraire les Matières Premières
_60170C8820B7888C	SHF	Prospection	une	la	Prospections	des	les	
_442BD9F7265A5C60	SHFF	Prospection forestière	une	la	Prospections forestières	des	les	
_ABAB732E8EFA5E6D	SHFFA	Initié en prospection forestière	un	l'\d	Initiés en prospection forestière	des	les	
_E6CB0BDADA2125AF	SHFFAE	Expert en prospection forestière	un	l'\d	Experts en prospection forestière	des	les	
_B10C1FBB94DEE8D9	SHFFAEM	Maître en prospection forestière	un	le	Maîtres en prospection forestière	des	les	
_C42BD5F666CA2C5E	SHFD	Prospection désertique	une	la	Prospections désertiques	des	les	
_6BFB6B2F0CDA5A6D	SHFDA	Initié en prospection désertique	un	l'\d	Initiés en prospection désertique	des	les	
_66BB07DB98611DAF	SHFDAE	Expert en prospection désertique	un	l'\d	Experts en prospection désertique	des	les	
_31EC1FBD909EE8D9	SHFDAEM	Maître en prospection désertique	un	le	Maîtres en prospection désertique	des	les	
_453A81F2A57A8464	SHFJ	Prospection dans la Jungle	une	la	Prospections	des	les	
_E79B8B2A1049426F	SHFJA	Initié en prospection de la Jungle	un	l'\d	Initiés en prospection de la Jungle	des	les	
_2369F7D85BC235AF	SHFJAE	Expert en prospection de la Jungle	un	l'\d	Experts en prospection de la Jungle	des	les	
_2A2A2FB3985EE8D9	SHFJAEM	Maître en prospection de la Jungle 	un	le	Maîtres en prospection de la Jungle 	des	les	
_1AD7982D8D996475	SHFL	Prospection lacustre	une	la	Prospections lacustres	des	les	
_FAF5BBC2525D3127	SHFLA	Initié en prospection lacustre	un	l'\d	Initiés en prospection lacustre	des	les	
_C973D10EA27302E5	SHFLAE	Expert en prospection lacustre	un	l'\d	Experts en prospection lacustre	des	les	
_BB11B61895D0B534	SHFLAEM	Maître en prospection lacustre	un	le	Maîtres en prospection Lacustre	des	les	
_2A44FD62F20871D7	SHFP	Prospection dans les Primes Racines	une	la	Prospections des Primes Racines	des	les	
_6FEB58CC68A3038F	SHFPA	Initié en prospection des Primes Racines	un	l'\d	Initiés en prospection des Primes Racines	des	les	
_035B83115B7A3738	SHFPAE	Expert en prospection des Primes Racines	un	l'\d	Experts en prospection des Primes Racines	des	les	
_F79E37D8A4C77E67	SHFPAEM	Maître en prospection des Primes Racines	un	le	Maîtres en prospection des Primes Racines	des	les	
_BA3DD7D26A7885B0	SMTOECA	Initié en magie du froid	un	l'\d	Initiés en magie du froid	des	les	Magie offensive avancée ciblée sur les dégâts spéciaux - Froid
_AFEDA7D06A484DAB	SMTOEAA	Initié en magie d'acide	un	l'\d	Initiés en magie d'acide	des	les	Magie offensive avancée ciblée sur les dégâts spéciaux - Acide
_01CD9DBDADC47BC9	SMTOERA	Initié en magie de la pourriture	un	l'\d	Initiés en magie de la pourriture	des	les	Magie offensive avancée ciblée sur les dégâts spéciaux - Pourriture
_71CEBFD5AAD97DB9	SMTOEFA	Initié en magie du feu	un	l'\d	Initiés en magie du feu	des	les	Magie offensive avancée ciblée sur les dégâts spéciaux - Feu
_318D06154CC1104A	SMTOESA	Initié en magie des ondes de choc	un	l'\d	Initiés en magie des ondes de choc	des	les	Magie offensive avancée ciblée sur les dégâts spéciaux - Onde de choc
_73261D03FCFBFD13	SMTOEPA	Initié en magie du poison	un	l'\d	Initiés en magie du poison	des	les	Magie offensive avancée ciblée sur les dégâts spéciaux - Poison
_E6D785444091E28C	SMTOEEA	Initié en magie électrique	un	l'\d	Initiés en magie électrique	des	les	Magie offensive avancée ciblée sur les dégâts spéciaux - Electricité
_D7E6E2B1D5A97148	SMTCHPA	Initié en magie de guérison vie	un	l'\d	Initiés en magie de guérison vie	des	les	Magie Curative Avancée Ciblée sur la Guérison - Vie
_0918DB0BE0F94381	SMTCHTA	Initié en magie de guérison endurance	un	l'\d	Initiés en magie de guérison endurance	des	les	Magie Curative Avancée Ciblée sur la Guérison - Sta
_F3EB3786D6F24AAC	SMTCHAA	Initié en magie de guérison sève	un	l'\d	Initiés en magie de guérison sève	des	les	Magie Curative Avancée Ciblée sur la Guérison - Sève
_E9A9A59BE96CEC2F	SMTCHCA	Initié en magie de guérison concentration	un	l'\d	Initiés en magie de guérison concentration	des	les	Magie curative avancée ciblée sur la guérison - Concentration
_5E798E3F74FE345E	SMLOSMA	Initié en lien de folie	un	l'\d	Initiés en lien de folie	des	les	Lien avancé de magie offensive relatif aux maladies - Folie
